id;sentence;isCorrect;questionId
1;Юркнуть, нырнуть;true;1
2;Падать;false;1
3;Утка;true;1
4;Кукла;false;2
5;Кастет;false;2
6;Мяч;true;2
7;Нести;false;3
8;Задуматься, думать;false;3
9;Делать, мастерить;true;3
10;Забыть;false;4
11;Помнить, вспоминать;true;4
12;Направиться;false;4
13;Держава;false;5
14;Берег, бухта;false;5
15;День;true;5
16;Пшеница;true;6
17;Мозги, думать;false;6
18;Мелкие комочки;true;6
19;Шершень;false;7
20;Честный;false;7
21;Собирать урожай;true;7
22;Гора;true;8
23;Большая гора;true;8
24;Оборудование;false;8
25;Раздражение;true;9
26;Зуд, чесотка;false;9
27;Подражение;false;9
28;Муравей;true;10
29;Жук-олень;false;10
30;Сборщик мусора;false;10
31;Чашка;false;11
32;Ухмыляться;true;11
33;Криво улыбаться;true;11
34;Серена;false;12
35;Безоблачный, безмятежный;true;12
36;Плоский, худой;false;12
37;Вложение;false;13
38;Бить крапивой;false;13
39;Расследование;true;13
40;Знакомство;true;14
41;Забор;false;14
42;Товарищество;true;14
43;Чуждый;false;15
44;Чудаковатый;false;15
45;Чудесный;true;15
46;Достоинство;true;16
47;Долг;false;16
48;Чувство собственного превосходства;false;16
49;Дилетант;false;17
50;Прилежный, исполнительный;true;17
51;Неустанный;true;17
52;Привязь, ограничивать;true;18
53;Узы, соединяться;false;18
54;Раздача беспроводной сети;false;18
